ENSEMBL	GMP.WT.1	GMP.WT.2	GMP.WT.3	GMP.WT.4	MPP.WT.1	MPP.WT.2	MPP.WT.3	MPP.WT.4
ENSMUSG00000102693	0	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0	0
ENSMUSG00000051951	0	0	0	0	0	0	0	0
ENSMUSG00000102851	0	0	0	0	0	0	0	0
ENSMUSG00000103377	0	0	0	4	0	0	0	0
ENSMUSG00000104017	0	0	0	0	0	0	0	0
ENSMUSG00000103025	0	1	0	0	0	0	0	0
ENSMUSG00000089699	0	0	0	0	0	0	0	0
ENSMUSG00000103201	0	0	0	0	0	0	0	0
ENSMUSG00000103147	0	1	0	0	0	0	2	0
ENSMUSG00000103161	2	0	0	0	1	0	0	0
ENSMUSG00000102331	0	0	0	0	0	0	0	1
ENSMUSG00000102348	0	0	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0
ENSMUSG00000102343	1	0	0	0	0	0	0	0
ENSMUSG00000025900	4	0	2	0	2	0	0	0
ENSMUSG00000102948	0	0	0	0	0	3	0	0
ENSMUSG00000104123	0	0	0	0	0	0	0	1
ENSMUSG00000025902	2	0	0	0	0	0	0	1
ENSMUSG00000104238	1	4	0	0	1	0	0	0
ENSMUSG00000102269	0	1	2	0	3	1	0	2
ENSMUSG00000096126	0	0	0	0	0	0	0	0
ENSMUSG00000103003	1	0	0	0	0	0	0	0
ENSMUSG00000104328	0	3	0	1	0	0	0	0
ENSMUSG00000102735	1	1	0	0	0	1	0	1
ENSMUSG00000098104	18	8	12	17	15	15	16	17
ENSMUSG00000102175	0	0	0	0	25	1	0	0
ENSMUSG00000088000	0	0	0	1	0	0	1	0
ENSMUSG00000103265	5	1	1	1	0	0	6	0
ENSMUSG00000103922	7	11	14	11	17	8	5	30
ENSMUSG00000033845	716	675	661	652	513	682	580	565
ENSMUSG00000102275	16	16	32	22	32	40	27	23
ENSMUSG00000025903	665	744	631	665	513	573	521	552
ENSMUSG00000104217	0	0	0	0	0	0	0	0
ENSMUSG00000033813	720	738	727	716	482	708	527	516
ENSMUSG00000062588	4	3	1	4	5	13	2	1
ENSMUSG00000103280	13	13	5	14	45	18	19	8
ENSMUSG00000002459	0	1	4	3	5	0	1	5
ENSMUSG00000091305	0	0	0	0	0	0	0	0
ENSMUSG00000102653	0	0	0	1	0	0	0	0
ENSMUSG00000085623	0	1	0	0	1	0	0	1
ENSMUSG00000091665	0	1	1	0	0	3	0	0
ENSMUSG00000033793	704	719	588	600	678	573	467	588
ENSMUSG00000104352	0	0	0	0	0	0	0	1
ENSMUSG00000104046	0	2	0	0	0	0	0	0
ENSMUSG00000102907	0	0	0	0	0	0	0	3
ENSMUSG00000025905	0	4	0	0	0	0	0	2
ENSMUSG00000103936	0	0	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0	0	0
ENSMUSG00000033774	0	0	0	0	0	0	0	0
ENSMUSG00000103090	0	1	0	0	0	0	0	0
ENSMUSG00000025907	2682	3087	2475	3152	3100	3525	3149	2567
ENSMUSG00000090031	66	49	31	59	155	89	48	66
ENSMUSG00000087247	2	2	0	0	0	0	0	0
ENSMUSG00000103355	0	1	0	0	1	0	0	0
ENSMUSG00000102706	0	0	0	0	0	0	0	0
ENSMUSG00000103845	0	2	1	1	2	3	0	0
ENSMUSG00000033740	2	3	0	4	9	24	1	6
ENSMUSG00000103329	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0
ENSMUSG00000102135	4	4	3	3	6	2	3	8
ENSMUSG00000103282	0	0	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	1	0	0	0	0
ENSMUSG00000051285	598	745	591	725	957	1008	827	841
ENSMUSG00000098201	23	31	19	21	35	25	48	26
ENSMUSG00000103509	112	134	111	170	320	311	237	155
ENSMUSG00000048538	1	1	1	0	6	2	0	0
ENSMUSG00000103709	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0
ENSMUSG00000102768	1	0	0	0	0	0	0	0
ENSMUSG00000097797	29	29	41	26	45	51	44	33
ENSMUSG00000103498	0	0	1	0	0	0	1	0
ENSMUSG00000103067	2	0	0	1	0	0	1	0
ENSMUSG00000102320	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	1	0	0	0	0	0	0
ENSMUSG00000025909	1	0	1	0	1	0	0	0
ENSMUSG00000102647	1	1	0	0	0	0	1	1
ENSMUSG00000086235	0	1	0	0	0	0	0	0
ENSMUSG00000102253	0	1	0	0	0	0	0	0
ENSMUSG00000093970	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0
ENSMUSG00000084353	0	0	0	0	0	0	0	0
ENSMUSG00000103933	4	9	6	2	0	2	5	3
ENSMUSG00000076135	1	0	0	0	0	0	0	0
ENSMUSG00000086195	0	0	0	0	0	0	0	0
ENSMUSG00000104504	0	1	0	0	0	0	0	0
ENSMUSG00000066693	0	0	0	0	0	0	0	0
ENSMUSG00000102316	1	1	0	0	0	0	0	0
ENSMUSG00000103819	0	0	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0	0	0	0	1
ENSMUSG00000101571	1	0	0	1	0	1	1	0
